iter	RMSE
0	31.7720087
1	29.71308899
2	27.85014509
3	26.08557748
4	24.4487536
5	22.89396035
6	21.42945128
7	20.07543838
8	18.82151196
9	17.67678619
10	16.6155999
11	15.65455699
12	14.73352143
13	13.88063512
14	13.06727158
15	12.33604502
16	11.63308814
17	11.0096314
18	10.39307305
19	9.824147183
20	9.300621488
21	8.819354561
22	8.378426369
23	7.969413493
24	7.582282252
25	7.201326748
26	6.866382628
27	6.535260295
28	6.238785886
29	5.962762538
30	5.714195508
31	5.485945812
32	5.265021959
33	5.062733478
34	4.854251992
35	4.684206745
36	4.520494993
37	4.354881552
38	4.211718786
39	4.073018922
40	3.94976631
41	3.824889408
42	3.716139713
43	3.604985119
44	3.510769381
45	3.419071218
46	3.332723293
47	3.252964195
48	3.161425009
49	3.091293152
50	3.019170442
51	2.942066891
52	2.883785127
53	2.823517738
54	2.769440282
55	2.719498311
56	2.67439142
57	2.614356074
58	2.571707164
59	2.534531937
60	2.495275739
61	2.447937012
62	2.416127865
63	2.383086842
64	2.351745505
65	2.321608153
66	2.292845404
67	2.25828696
68	2.221782222
69	2.197547813
70	2.172934805
71	2.149307569
72	2.123264969
73	2.101498994
74	2.077401182
75	2.043034987
76	2.025407727
77	2.007323668
78	1.991484796
79	1.973652462
80	1.950418007
81	1.935682998
82	1.920547421
83	1.907628127
84	1.89331921
85	1.882514734
86	1.870881004
87	1.858800117
88	1.836901563
89	1.825299299
90	1.807799501
91	1.796984371
92	1.783817082
93	1.773544851
94	1.755934573
95	1.746507404
96	1.73996892
97	1.731484233
98	1.721909189
99	1.712427418
100	1.683547905
101	1.676344385
102	1.6632077
103	1.65144731
104	1.642240256
105	1.6355891
106	1.629484267
107	1.611226357
108	1.602659575
109	1.594783878
110	1.583665137
111	1.579246278
112	1.557449728
113	1.543228449
114	1.533750888
115	1.529362547
116	1.516151162
117	1.504658392
118	1.501218884
119	1.489935836
120	1.484549692
121	1.480558164
122	1.459039343
123	1.444006038
124	1.429017491
125	1.42576741
126	1.418507291
127	1.401091176
128	1.391322118
129	1.375922493
130	1.370560998
131	1.359077346
132	1.355310347
133	1.351596058
134	1.348826146
135	1.345387963
136	1.339093387
137	1.330937563
138	1.324482032
139	1.322278741
140	1.313663376
141	1.311439457
142	1.308392819
143	1.306447999
144	1.301547302
145	1.297387793
146	1.288234357
147	1.281202456
148	1.276110343
149	1.267654353
150	1.259848848
151	1.256684298
152	1.254917885
153	1.253335579
154	1.246708944
155	1.235350656
156	1.232433501
157	1.228849415
158	1.221472884
159	1.212367663
160	1.210338547
161	1.205465975
162	1.201351244
163	1.19639269
164	1.187556246
165	1.183401457
166	1.176654919
167	1.167624922
168	1.158947194
169	1.154129629
170	1.146504409
171	1.142086138
172	1.138103332
173	1.13491688
174	1.128851494
175	1.120487091
176	1.113842717
177	1.107978069
178	1.10368539
179	1.099972368
180	1.094044461
181	1.085420778
182	1.080197854
183	1.079034735
184	1.076745312
185	1.075001273
186	1.070183321
187	1.063728778
188	1.058636832
189	1.055149065
190	1.053618547
191	1.052149074
192	1.048303926
193	1.046579216
194	1.044889435
195	1.042391159
196	1.037986061
197	1.036002277
198	1.034093771
199	1.033488861
200	1.028264095
201	1.02533716
202	1.022260199
203	1.018392214
204	1.011680127
205	1.011048575
206	1.006422651
207	1.001129439
208	1.000028965
209	0.9971448038
210	0.9948121734
211	0.992131885
212	0.9891115512
213	0.9870444004
214	0.984179846
215	0.9799096589
216	0.9757219192
217	0.9718232919
218	0.9701291666
219	0.9664728494
220	0.9660209755
221	0.9629871465
222	0.9575423803
223	0.9524125554
224	0.9485010379
225	0.9480190428
226	0.946497901
227	0.9416484612
228	0.9388874678
229	0.9344426103
230	0.9308549044
231	0.9271979074
232	0.9240304839
233	0.9212835817
234	0.9189587832
235	0.9150923912
236	0.9138992895
237	0.9095883107
238	0.9087762115
239	0.9072446801
240	0.9068051148
241	0.904997228
242	0.9046600091
243	0.900850643
244	0.8997817217
245	0.8993652787
246	0.8972679735
247	0.8943192682
248	0.8922151104
249	0.8896057337
250	0.8873171016
251	0.8852511925
252	0.8848799767
253	0.8818088222
254	0.8803661726
255	0.8784359527
256	0.8735565445
257	0.8709559511
258	0.8698403059
259	0.867931237
260	0.8651208382
261	0.8625381193
262	0.8606463962
263	0.8604526041
264	0.8573609912
265	0.8556917494
266	0.8527876545
267	0.850398343
268	0.8485345322
269	0.8477144354
270	0.8475293619
271	0.8443641306
272	0.8439005367
273	0.8397275231
274	0.8374494494
275	0.8337104685
276	0.8317987885
277	0.8297012371
278	0.827597977
279	0.8252662897
280	0.8216543523
281	0.818909409
282	0.8173048421
283	0.8143569878
284	0.8119192068
285	0.8117524036
286	0.8109333396
287	0.8107757483
288	0.8087626338
289	0.8059824357
290	0.8036594285
291	0.8015928169
292	0.8001420235
293	0.7984196548
294	0.7983003407
295	0.7962092637
296	0.7935532361
297	0.7920483865
298	0.7898231045
299	0.786942903
300	0.785796323
301	0.7835334439
302	0.7820600853
303	0.780062916
304	0.7770742428
305	0.7746199041
306	0.7723658229
307	0.7703068625
308	0.770205138
309	0.7700958761
310	0.768078199
311	0.7656681399
312	0.7639561311
313	0.7618629953
314	0.7599919656
315	0.7590986007
316	0.7572542446
317	0.7558085173
318	0.754264079
319	0.7531965924
320	0.7519631239
321	0.7499042849
322	0.7484007227
323	0.7483131269
324	0.7455566127
325	0.7441889182
326	0.7440929817
327	0.7425081233
328	0.7410143928
329	0.7393218384
330	0.7392397431
331	0.7374240339
332	0.7372534414
333	0.7361396237
334	0.7351772145
335	0.7350890797
336	0.7329386191
337	0.7318939268
338	0.7304217412
339	0.7290769322
340	0.7271290295
341	0.7246215315
342	0.7233040056
343	0.7219805293
344	0.7218947334
345	0.7194108106
346	0.7176637038
347	0.7175648809
348	0.7158439147
349	0.7150316391
350	0.7149582837
351	0.7132997972
352	0.7116391812
353	0.7115661044
354	0.710086484
355	0.7084307617
356	0.7069257711
357	0.7057894886
358	0.7039363601
359	0.7022846713
360	0.7022091333
361	0.7008719637
362	0.7002713348
363	0.7001997232
364	0.7001340973
365	0.6983453689
366	0.6957575785
367	0.6944008649
368	0.6943040593
369	0.6940925518
370	0.693099879
371	0.6914969975
372	0.6900739565
373	0.6888254406
374	0.6874919305
375	0.6874306266
376	0.6873686432
377	0.6859821576
378	0.6841346277
379	0.6827544728
380	0.6815781557
381	0.6805303379
382	0.6782173103
383	0.6770238183
384	0.6768402364
385	0.6762390642
386	0.6743554334
387	0.6721576302
388	0.6712866887
389	0.671167908
390	0.6710242375
391	0.6699304403
392	0.6688352188
393	0.6672622493
394	0.6663773974
395	0.665404089
396	0.6641887039
397	0.6630835131
398	0.6627696801
399	0.6617819246
400	0.6612164931
401	0.6593157649
402	0.6581544093
403	0.6566709924
404	0.6545575016
405	0.6533246409
406	0.6531519787
407	0.6517301466
408	0.6516533141
409	0.6501791499
410	0.6491907829
411	0.6475596565
412	0.6474868321
413	0.6463042814
414	0.6449600613
415	0.6439358693
416	0.6435178194
417	0.6423377938
418	0.6413079925
419	0.6399903053
420	0.6391971467
421	0.6387379662
422	0.6384932537
423	0.638197154
