iter	Passed	Remaining
0	12	31505
1	22	28534
2	33	27697
3	42	26318
4	52	26166
5	61	25505
6	71	25389
7	80	25133
8	89	24729
9	98	24634
10	109	24857
11	121	25135
12	132	25354
13	141	25154
14	153	25397
15	165	25740
16	174	25502
17	184	25444
18	195	25472
19	206	25545
20	217	25688
21	229	25889
22	240	25952
23	251	25926
24	344	34115
25	399	38013
26	412	37821
27	430	38043
28	449	38341
29	467	38507
30	479	38158
31	487	37603
32	495	37048
33	505	36660
34	514	36220
35	522	35748
36	530	35331
37	539	34950
38	547	34550
39	555	34188
40	564	33846
41	575	33692
42	583	33367
43	594	33185
44	603	32921
45	613	32724
46	624	32606
47	636	32515
48	647	32368
49	657	32230
50	666	32027
51	679	31984
52	688	31806
53	697	31572
54	707	31455
55	717	31325
56	725	31106
57	735	30955
58	742	30737
59	752	30590
60	760	30409
61	770	30296
62	779	30165
63	787	29984
64	796	29830
65	804	29662
66	815	29598
67	824	29494
68	833	29382
69	841	29197
70	849	29068
71	857	28921
72	866	28818
73	874	28679
74	883	28555
75	890	28390
76	898	28267
77	905	28126
78	914	28026
79	921	27875
80	929	27759
81	937	27651
82	946	27564
83	954	27440
84	962	27357
85	971	27257
86	980	27195
87	988	27081
88	997	27013
89	1004	26904
90	1014	26857
91	1024	26811
92	1034	26764
93	1044	26737
94	1052	26649
95	1061	26593
96	1070	26508
97	1079	26455
98	1086	26359
99	1094	26277
100	1102	26192
101	1110	26112
102	1118	26018
103	1127	25982
104	1136	25923
105	1144	25858
106	1153	25789
107	1160	25702
108	1169	25656
109	1177	25575
110	1186	25533
111	1195	25500
112	1204	25439
113	1211	25346
114	1219	25292
115	1228	25237
116	1236	25190
117	1244	25115
118	1252	25066
119	1260	24994
120	1268	24938
121	1276	24873
122	1283	24812
123	1292	24764
124	1300	24706
125	1308	24650
126	1316	24596
127	1323	24532
128	1333	24500
129	1340	24432
130	1348	24379
131	1354	24303
132	1361	24223
133	1369	24177
134	1375	24102
135	1384	24070
136	1392	24010
137	1399	23958
138	1408	23924
139	1416	23884
140	1426	23862
141	1435	23844
142	1443	23786
143	1450	23738
144	1457	23677
145	1466	23640
146	1474	23601
147	1482	23563
148	1489	23503
149	1498	23480
150	1505	23423
151	1513	23375
152	1520	23324
153	1529	23295
154	1537	23256
155	1545	23226
156	1553	23180
157	1561	23148
158	1569	23101
159	1577	23072
160	1585	23031
161	1596	23034
162	1604	23003
163	1612	22965
164	1620	22927
165	1628	22891
166	1634	22832
167	1643	22819
168	1651	22781
169	1660	22757
170	1667	22706
171	1676	22684
172	1683	22650
173	1692	22627
174	1700	22594
175	1708	22563
176	1715	22510
177	1722	22476
178	1730	22433
179	1738	22403
180	1746	22370
181	1754	22344
182	1761	22297
183	1769	22270
184	1776	22224
185	1783	22188
186	1790	22148
187	1797	22100
188	1805	22082
189	1813	22052
190	1821	22021
191	1828	21985
192	1837	21960
193	1846	21944
194	1856	21943
195	1863	21909
196	1871	21877
197	1879	21847
198	1888	21834
199	1895	21795
200	1903	21773
201	1912	21753
202	1919	21724
203	1926	21686
204	1934	21654
205	1941	21619
206	1949	21592
207	1956	21558
208	1965	21539
209	1971	21503
210	1980	21486
211	1987	21454
212	1997	21442
213	2004	21416
214	2011	21383
215	2019	21350
216	2027	21327
217	2034	21301
218	2041	21264
219	2051	21261
220	2059	21241
221	2068	21221
222	2076	21206
223	2083	21167
224	2091	21143
225	2097	21107
226	2104	21069
227	2112	21055
228	2120	21030
229	2127	21001
230	2135	20973
231	2143	20952
232	2150	20920
233	2161	20932
234	2174	20956
235	2181	20925
236	2189	20904
237	2196	20872
238	2204	20850
239	2212	20834
240	2219	20807
241	2226	20775
242	2233	20743
243	2242	20736
244	2251	20718
245	2260	20714
246	2268	20689
247	2277	20678
248	2285	20660
249	2292	20628
250	2298	20595
251	2307	20585
252	2315	20567
253	2324	20558
254	2333	20540
255	2340	20519
256	2349	20506
257	2358	20491
258	2366	20475
259	2374	20460
260	2382	20437
261	2390	20417
262	2398	20397
263	2405	20377
264	2413	20351
265	2421	20338
266	2429	20315
267	2437	20300
268	2445	20280
269	2454	20272
270	2463	20260
271	2471	20241
272	2478	20217
273	2489	20222
274	2498	20216
275	2506	20193
276	2515	20186
277	2523	20166
278	2531	20154
279	2539	20135
280	2547	20117
281	2555	20100
282	2564	20091
283	2572	20071
284	2581	20061
285	2588	20040
286	2597	20032
287	2605	20009
288	2614	20004
289	2623	19989
290	2632	19982
291	2638	19953
292	2646	19936
293	2654	19917
294	2662	19903
295	2669	19876
296	2677	19858
297	2686	19854
298	2694	19838
299	2702	19817
300	2711	19807
301	2718	19785
302	2727	19778
303	2735	19763
304	2744	19750
305	2751	19729
306	2760	19719
307	2768	19706
308	2778	19699
309	2786	19682
310	2793	19664
311	2800	19642
312	2810	19636
313	2817	19612
314	2825	19601
315	2834	19587
316	2842	19573
317	2849	19553
318	2857	19536
319	2865	19519
320	2873	19506
321	2882	19494
322	2891	19490
323	2899	19473
324	2907	19455
325	2914	19436
326	2923	19425
327	2930	19407
328	2940	19405
329	2947	19384
330	2955	19366
331	2962	19342
332	2969	19325
333	2978	19312
334	2986	19301
335	2993	19278
336	3002	19271
337	3009	19251
338	3017	19235
339	3024	19212
340	3032	19202
341	3041	19191
342	3050	19185
343	3057	19164
344	3067	19160
345	3075	19144
346	3085	19142
347	3093	19131
348	3102	19121
349	3108	19097
350	3118	19093
351	3127	19085
352	3135	19072
353	3144	19059
354	3153	19056
355	3161	19040
356	3168	19017
357	3176	19003
358	3183	18988
359	3192	18976
360	3199	18956
361	3206	18938
362	3215	18929
363	3222	18907
364	3230	18894
